locale	width	month_1	month_2	month_3	month_4	month_5	month_6	month_7	month_8	month_9	month_10	month_11	month_12
az-Arab	wide	M01	M02	M03	M04	M05	M06	M07	M08	M09	M10	M11	M12
az-Arab	abbreviated	M01	M02	M03	M04	M05	M06	M07	M08	M09	M10	M11	M12
az-Arab-IQ	wide	M01	M02	M03	M04	M05	M06	M07	M08	M09	M10	M11	M12
az-Arab-IQ	abbreviated	M01	M02	M03	M04	M05	M06	M07	M08	M09	M10	M11	M12
az-Arab-TR	wide	M01	M02	M03	M04	M05	M06	M07	M08	M09	M10	M11	M12
az-Arab-TR	abbreviated	M01	M02	M03	M04	M05	M06	M07	M08	M09	M10	M11	M12
az-Cyrl	wide	јанвар	феврал	март	апрел	май	ијун	ијул	август	сентјабр	октјабр	нојабр	декабр
az-Cyrl	abbreviated	јан	фев	мар	апр	май	ијн	ијл	авг	сен	окт	ној	дек
az-Latn	wide	yanvar	fevral	mart	aprel	may	iyun	iyul	avqust	sentyabr	oktyabr	noyabr	dekabr
az-Latn	abbreviated	yan	fev	mar	apr	may	iyn	iyl	avq	sen	okt	noy	dek
ba	wide	M01	M02	M03	M04	M05	M06	M07	M08	M09	M10	M11	M12
ba	abbreviated	M01	M02	M03	M04	M05	M06	M07	M08	M09	M10	M11	M12
bal	wide	M01	M02	M03	M04	M05	M06	M07	M08	M09	M10	M11	M12
bal	abbreviated	M01	M02	M03	M04	M05	M06	M07	M08	M09	M10	M11	M12
bal-Arab	wide	M01	M02	M03	M04	M05	M06	M07	M08	M09	M10	M11	M12
bal-Arab	abbreviated	M01	M02	M03	M04	M05	M06	M07	M08	M09	M10	M11	M12
bal-Latn	wide	Janwari	Parwari	Márch	Aprél	Mai	Jun	Jólái	Agast	Satambar	Aktubar	Nawambar	Dasambar
bal-Latn	abbreviated	Jan	Par	Már	Apr	Mai	Jun	Jól	Aga	Sat	Akt	Naw	Das
bas	wide	Kɔndɔŋ	Màcɛ̂l	Màtùmb	Màtop	M̀puyɛ	Hìlòndɛ̀	Njèbà	Hìkaŋ	Dìpɔ̀s	Bìòôm	Màyɛsèp	Lìbuy li ńyèe
bas	abbreviated	kɔn	mac	mat	mto	mpu	hil	nje	hik	dip	bio	may	liɓ
be	wide	студзеня	лютага	сакавіка	красавіка	мая	чэрвеня	ліпеня	жніўня	верасня	кастрычніка	лістапада	снежня
be	abbreviated	сту	лют	сак	кра	мая	чэр	ліп	жні	вер	кас	ліс	сне
be-tarask	wide	студзеня	лютага	сакавіка	красавіка	мая	чэрвеня	ліпеня	жніўня	верасня	кастрычніка	лістапада	снежня
be-tarask	abbreviated	сту	лют	сак	кра	мая	чэр	ліп	жні	вер	кас	ліс	сне
bem	wide	Januari	Februari	Machi	Epreo	Mei	Juni	Julai	Ogasti	Septemba	Oktoba	Novemba	Disemba
bem	abbreviated	Jan	Feb	Mac	Epr	Mei	Jun	Jul	Oga	Sep	Okt	Nov	Dis
bew	wide	M01	M02	M03	M04	M05	M06	M07	M08	M09	M10	M11	M12
bew	abbreviated	M01	M02	M03	M04	M05	M06	M07	M08	M09	M10	M11	M12
bez	wide	pa mwedzi gwa hutala	pa mwedzi gwa wuvili	pa mwedzi gwa wudatu	pa mwedzi gwa wutai	pa mwedzi gwa wuhanu	pa mwedzi gwa sita	pa mwedzi gwa saba	pa mwedzi gwa nane	pa mwedzi gwa tisa	pa mwedzi gwa kumi	pa mwedzi gwa kumi na moja	pa mwedzi gwa kumi na mbili
bez	abbreviated	Hut	Vil	Dat	Tai	Han	Sit	Sab	Nan	Tis	Kum	Kmj	Kmb
bgc	wide	जनवरी	फरवरी	मार्च	अप्रैल	मई	जून	जुलाई	अगस्त	सितम्बर	अक्टूबर	नवम्बर	दिसंबर
bgc	abbreviated	जनवरी	फरवरी	मार्च	अप्रैल	मई	जून	जुलाई	अगस्त	सितम्बर	अक्टूबर	नवम्बर	दिसंबर
bgn	wide	M01	M02	M03	M04	M05	M06	M07	M08	M09	M10	M11	M12
bgn	abbreviated	M01	M02	M03	M04	M05	M06	M07	M08	M09	M10	M11	M12
bgn-AE	wide	M01	M02	M03	M04	M05	M06	M07	M08	M09	M10	M11	M12
bgn-AE	abbreviated	M01	M02	M03	M04	M05	M06	M07	M08	M09	M10	M11	M12
bgn-AF	wide	M01	M02	M03	M04	M05	M06	M07	M08	M09	M10	M11	M12
bgn-AF	abbreviated	M01	M02	M03	M04	M05	M06	M07	M08	M09	M10	M11	M12
bgn-IR	wide	M01	M02	M03	M04	M05	M06	M07	M08	M09	M10	M11	M12
bgn-IR	abbreviated	M01	M02	M03	M04	M05	M06	M07	M08	M09	M10	M11	M12
bgn-OM	wide	M01	M02	M03	M04	M05	M06	M07	M08	M09	M10	M11	M12
bgn-OM	abbreviated	M01	M02	M03	M04	M05	M06	M07	M08	M09	M10	M11	M12
bho	wide	जनवरी	फरवरी	मार्च	अप्रैल	मई	जून	जुलाई	अगस्त	सितम्बर	अक्टूबर	नवंबर	दिसंबर
bho	abbreviated	जनवरी	फरवरी	मार्च	अप्रैल	मई	जून	जुलाई	अगस्त	सितम्बर	अक्टूबर	नवंबर	दिसंबर
