locale	length	ldml_pattern	normalized	finetype_type	note
ar-OM	full	EEEE، d MMMM y	EEEE، d MMMM y	datetime.date.weekday_full_month	weekday + full month
ar-PS	short	d‏/M‏/y	d/M/y	datetime.date.eu_slash	DMY slash
ar-PS	medium	dd‏/MM‏/y	dd/MM/y	datetime.date.eu_slash	DMY slash padded
ar-PS	long	d MMMM y	d MMMM y	datetime.date.long_full_month	full month
ar-PS	full	EEEE، d MMMM y	EEEE، d MMMM y	datetime.date.weekday_full_month	weekday + full month
ar-QA	short	d‏/M‏/y	d/M/y	datetime.date.eu_slash	DMY slash
ar-QA	medium	dd‏/MM‏/y	dd/MM/y	datetime.date.eu_slash	DMY slash padded
ar-QA	long	d MMMM y	d MMMM y	datetime.date.long_full_month	full month
ar-QA	full	EEEE، d MMMM y	EEEE، d MMMM y	datetime.date.weekday_full_month	weekday + full month
ar-SA	short	d‏/M‏/y	d/M/y	datetime.date.eu_slash	DMY slash
ar-SA	medium	dd‏/MM‏/y	dd/MM/y	datetime.date.eu_slash	DMY slash padded
ar-SA	long	d MMMM y	d MMMM y	datetime.date.long_full_month	full month
ar-SA	full	EEEE، d MMMM y	EEEE، d MMMM y	datetime.date.weekday_full_month	weekday + full month
ar-SD	short	d‏/M‏/y	d/M/y	datetime.date.eu_slash	DMY slash
ar-SD	medium	dd‏/MM‏/y	dd/MM/y	datetime.date.eu_slash	DMY slash padded
ar-SD	long	d MMMM y	d MMMM y	datetime.date.long_full_month	full month
ar-SD	full	EEEE، d MMMM y	EEEE، d MMMM y	datetime.date.weekday_full_month	weekday + full month
ar-SO	short	d‏/M‏/y	d/M/y	datetime.date.eu_slash	DMY slash
ar-SO	medium	dd‏/MM‏/y	dd/MM/y	datetime.date.eu_slash	DMY slash padded
ar-SO	long	d MMMM y	d MMMM y	datetime.date.long_full_month	full month
ar-SO	full	EEEE، d MMMM y	EEEE، d MMMM y	datetime.date.weekday_full_month	weekday + full month
ar-SS	short	d‏/M‏/y	d/M/y	datetime.date.eu_slash	DMY slash
ar-SS	medium	dd‏/MM‏/y	dd/MM/y	datetime.date.eu_slash	DMY slash padded
ar-SS	long	d MMMM y	d MMMM y	datetime.date.long_full_month	full month
ar-SS	full	EEEE، d MMMM y	EEEE، d MMMM y	datetime.date.weekday_full_month	weekday + full month
